id,type,name,url
amnhc_2000109,Expedition,Atlantic Shore Life Expeditions (1913),http://data.library.amnh.org/archives-authorities/id/amnhc_2000109
amnhc_2000110,Expedition,Borden Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000110
amnhc_2000111,Expedition,Brewster-Sanford Expedition of the American Museum of Natural History (1912-1917),http://data.library.amnh.org/archives-authorities/id/amnhc_2000111
amnhc_2000112,Expedition,Hovey Expedition to Central America,http://data.library.amnh.org/archives-authorities/id/amnhc_2000112
amnhc_2000113,Expedition,Paleolithic Study Trip to Europe,http://data.library.amnh.org/archives-authorities/id/amnhc_2000113
amnhc_2000114,Expedition,South American Ornithology Expedition (1912-1913),http://data.library.amnh.org/archives-authorities/id/amnhc_2000114
amnhc_2000115,Expedition,Vertebrate Palaeontology Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000115
amnhc_2000116,Expedition,Barnes-Kearton Expedition to Central Africa,http://data.library.amnh.org/archives-authorities/id/amnhc_2000116
amnhc_2000117,Expedition,Crocker Land Expedition (1913-1917),http://data.library.amnh.org/archives-authorities/id/amnhc_2000117
amnhc_2000118,Expedition,Roosevelt South American Expeditions (1913-1917),http://data.library.amnh.org/archives-authorities/id/amnhc_2000118
amnhc_2000119,Expedition,Expedition to Eastern Panama,http://data.library.amnh.org/archives-authorities/id/amnhc_2000119
amnhc_2000120,Expedition,Shiras Expedition to Panama (1914),http://data.library.amnh.org/archives-authorities/id/amnhc_2000120
amnhc_2000121,Expedition,Biological Expedition to Puerto Rico (1914),http://data.library.amnh.org/archives-authorities/id/amnhc_2000121
amnhc_2000122,Expedition,Miller Colombian Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000122
amnhc_2000123,Expedition,Vertebrate Palaeontology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000123
amnhc_2000124,Expedition,Devilfish Expedition (1914),http://data.library.amnh.org/archives-authorities/id/amnhc_2000124
amnhc_2000125,Expedition,Collins-Day Expedition to South America (1915),http://data.library.amnh.org/archives-authorities/id/amnhc_2000125
amnhc_2000126,Expedition,Expeditions to Eastern Panama (1914-1915),http://data.library.amnh.org/archives-authorities/id/amnhc_2000126
amnhc_2000127,Expedition,Santo Domingo Expedition (1915),http://data.library.amnh.org/archives-authorities/id/amnhc_2000127
amnhc_2000128,Expedition,Crampton Antilles Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000128
